Rank,Musica,Artista,Lyrics
11,Stick Season,Noah Kahan ,"
as you promised me that i was more than all the miles combined
you must've had yourself a change of heart like halfway through the drive
because your voice trailed off exactly as you passed my exit sign
kept on drivin' straight and left our future to the right
now i am stuck between my anger and the blame that i can't face
and memories are somethin' even smoking weed does not replace
and i am terrified of weather 'cause i see you when it rains
doc told me to travel, but there's covid on the planes


and i love vermont, but it's the season of the sticks
and i saw your mom, she forgot that i existed
and it's half my fault, but i just like to play the victim
i'll drink alcohol 'til my friends come home for christmas
and i'll dream each night of some version of you
that i might not have, but i did not lose
now you're tire tracks and one pair of shoes
and i'm split in half, but that'll have to do


so i thought that if i piled something good on all my bad
that i could cancel out the darkness i inherited from dad
no, i am no longer funny 'cause i miss the way you laugh
you once called me ""forever,"" now you still can't call me back


and i love vermont, but it's the season of the sticks
and i saw your mom, she forgot that i existed
and it's half my fault, but i just like to play the victim
i'll drink alcohol 'til my friends come home for christmas
and i'll dream each night of some version of you
that i might not have, but i did not lose
now you're tire tracks and one pair of shoes
and i'm split in half, but that'll have to do


oh, that'll have to do
my other half was you
i hope this pain's just passin' through
but i doubt it


and i love vermont, but it's the season of the sticks
and i saw your mom, she forgot that i existed
and it's half my fault, but i just like to play the victim
i'll drink alcohol 'til my friends come home for christmas
and i'll dream each night of some version of you
that i might not have, but i did not lose
now you're tire tracks and one pair of shoes
and i'm split in half, but that'll have to do
have to do"
12,Cruel Summer,Taylor Swift ,"
(yeah, yeah, yeah, yeah)


fever dream high in the quiet of the night
you know that i caught it (oh yeah, you're right, i want it)
bad, bad boy, shiny toy with a price
you know that i bought it (oh yeah, you're right, i want it)


killing me slow, out the window
i'm always waiting for you to be waiting below
devils roll the dice, angels roll their eyes
what doesn't kill me makes me want you more


and it's new, the shape of your body
it's blue, the feeling i've got
and it's ooh, woah-oh
it's a cruel summer
it's cool, that's what i tell 'em
no rules in breakable heaven
but ooh, woah-oh
it's a cruel summer with you


hang your head low in the glow of the vending machine
i'm not dying (oh yeah, you're right, i want it)
we say that we'll just screw it up in these trying times
we're not trying (oh yeah, you're right, i want it)


so cut the headlights, summer's a knife
i'm always waiting for you just to cut to the bone
devils roll the dice, angels roll their eyes
and if i bleed, you'll be the last to know, oh


it's new, the shape of your body
it's blue, the feeling i've got
and it's ooh, woah-oh
it's a cruel summer
it's cool, that's what i tell 'em
no rules in breakable heaven
but ooh, woah-oh
it's a cruel summer with you


i'm drunk in the back of the car
and i cried like a baby comin' home from the bar (oh)
said, ""i'm fine,"" but it wasn't true
i don't wanna keep secrets just to keep you
and i snuck in through the garden gate
every night that summer just to seal my fate (oh)
and i scream, ""for whatever it's worth
i love you, ain't that the worst thing you ever heard?""
he looks up, grinnin' like a devil


it's new, the shape of your body
it's blue, the feeling i've got
and it's ooh, woah-oh
it's a cruel summer
it's cool, that's what i tell 'em
no rules in breakable heaven
but ooh, woah-oh
it's a cruel summer with you


i'm drunk in the back of the car
and i cried like a baby comin' home from the bar (oh)
said, ""i'm fine,"" but it wasn't true
i don't wanna keep secrets just to keep you
and i snuck in through the garden gate
every night that summer just to seal my fate (oh)
and i scream, ""for whatever it's worth
i love you, ain't that the worst thing you ever heard?""
(yeah, yeah, yeah, yeah)"
13,Greedy,Tate McRae ,"
(woo)


he said, ""are you serious? i've tried, but i can't figure out
i've been next to you all night and still don't know what you're about
you keep ta- (ta-ta-) talkin', but not much comin' out your mouth
can't you tell that i want you?"", i say, ""yeah""

i would want myself
baby, please believe me
i'll put you through hell
just to know me, yeah, yeah
so sure of yourself
baby, don't get greedy
that shit won't end well
(no, it won't) end well


(uh-uh, uh-uh-uh, uh-uh, woo)


i see you eyein' me down, but you'll never know much past my name
or how i'm runnin' this room around and that i'm still half your age
yeah, you're loo- (loo-loo-) lookin' at me like i'm some sweet escape
obvious that you want me, but i said


i would want myself
baby, please believe me
i'll put you through hell
just to know me, yeah, yeah
so sure of yourself
baby, don't get greedy
that shit won't end well
(no, it won't) end well


he said, ""i'm just curious, is this for real or just an act?
can't tell if you love or hate me, never met someone like that
drive me so (so, so) crazy, did you know you got that effect?""
i said, ""lemme check, yeah""

i would want myself
baby, please believe me
i'll put you through hell
just to know me, yeah, yeah
so sure of yourself
baby, don't get greedy
that shit won't end well
(no, it won't) end well


(i would want myself)
(i would want myself)
i would want myself
(i would want myself)
(i would want myself)
(uh-uh, uh-uh-uh, uh)"
14,Like That,Future feat. Metro Boomin & Kendrick Lamar ,"
gotta fire my joint up on this bitch
young metro, young metro, young metro, three times
yeah


stickin' to the code, all these hoes for the streets
i put it in her nose, it's gon' make her pussy leak
pussy niggas told, ain't gon' wake up out they sleep
you can't hear that switch, but you can hear them niggas scream
all my hoes do shrooms, nigga, all my hoes do coke
twenty-carat ring, i put my fingers down her throat (uh, uh, uh)
if i lose a carat, she might choke (uh, uh, uh)
i know she gon' swallow, she a g.o.a.t. (uh, uh, uh)
freeband nigga, bring the racks in
got the shooters in the corner like the pack in
she think 'cause she exotic bitch, she attractive
that's that shit'll get you put up out the section, brrt
and the motto still the same
ball like i won a championship game
you know these hoes hungry, they gon' fuck for a name
i put her on the gang, she get fucked for a chain
got your girl in this bitch, she twirlin' on the dick
i got syrup in this bitch, turn up in this bitch
and we brought the 'ercs in this bitch, get murked in this bitch
all these pointers on me, baby, you know it's game time
bring a friend, bitch, we fucked 'em at the same time
i'm a different nigga, no, we not the same kind
you can have that lil'— if she ain't mine (yeah)


young dope dealer, sellin' dope, is you like that? (if you like that)
kickin' doors, kickin' in doors, is you like that? (yeah)
young throwed nigga, sellin' loads, is you like that? (yeah)
all '24, you on go, is you like that? (if you like that)
niggas from the bottom really like that (if you like that)
steppin' in balencis if you like that (if you like that)
pop another bottle if you like that (if you like that)


he was once a thug from around the way


these niggas talkin' out of they necks
don't pull no coffin out of your mouth, i'm way too paranoid for a threat
ayy-ayy, let's get it, bro
d-o-t, the money, power, respect
the last one is better
say, it's a lot of goofies with a check
i mean, ah, i hope them sentiments symbolic
ah, my temperament bipolar, i choose violence
okay, let's get it up, it's time for him to prove that he's a problem
niggas clickin' up, but cannot be legit, no 40 water, tell 'em
ah, yeah, huh, yeah, get up with me
fuck sneak dissin', first-person shooter, i hope they came with three switches
i crash out like, ""fuck rap,"" diss melle mel if i had to
got 2teez with me, i'm snatchin' chains and burnin' tattoos, it's up
lost too many soldiers not to play it safe
if he walk around with that stick, it ain't andré 3k
think i won't drop the location? i still got ptsd
motherfuck the big three, nigga, it's just big me
nigga, bum
what? i'm really like that
and your best work is a light pack
nigga, prince outlived mike jack'
nigga, bum
'fore all your dogs gettin' buried
that's a k with all these nines, he gon' see pet sematary (yeah)
nigga, bum


young dope dealer, sellin' dope, is you like that? (if you like that, yeah, yeah)
kickin' doors, kickin' in doors, is you like that? (how?, yeah)
young throwed nigga, sellin' loads, is you like that? (holy water, holy water, yeah)
all '24, you on go, is you like that? (if you like that)
niggas from the bottom really like that (if you like that)
steppin' in balencis if you like that (if you like that)
pop another bottle if you like that (if you like that)


he was once a thug from around the way



young dope dealer, sellin' dope, is you like that?
kickin' doors, kickin' in doors, is you like that?
young throwed nigga, sellin' loads, is you like that?
all '24, you on go, is you like that? (if you like that)
niggas from the bottom really like that (if you like that)
steppin' in balencis if you like that (if you like that)
pop another bottle if you like that (if you like that)


he was once a thug, he was, he


came in banging dope, niggas was young, slangin' powder
walk in the strip club, make it rain for three hours
locked in and now i got my phantom and my driver
perc'd out, took chances in my hood like nevada
surfed out outside, white interior, lasagna
hundred thousands, i just cashed out on designer
gotta devour, nigga, i learned that in the jungle
once i sell this load, that's a million in a week"
15,Birds Of A Feather,Billie Eilish ,"
(but i wanna stay)


i want you to stay
'til i'm in the grave
'til i rot away, dead and buried
'til i'm in the casket you carry
if you go, i'm goin' too, uh
'cause it was always you (alright)
and if i'm turnin' blue, please don't save me
nothin' left to lose without my baby

birds of a feather, we should stick together, i know
i said i'd never think i wasn't better alone
can't change the weather, might not be forever
but if it's forever, it's even better


and i don't know what i'm cryin' for
i don't think i could love you more
it might not be long, but baby, i


i'll love you 'til the day that i die
'til the day that i die
'til the light leaves my eyes
'til the day that i die


i want you to see, hm
how you look to me, hm
you wouldn't believe if i told ya
you would keep the compliments i throw ya
but you're so full of shit, uh
tell me it's a bit, oh
say you don't see it, your mind's polluted
say you wanna quit, don't be stupid


and i don't know what i'm cryin' for
i don't think i could love you more
it might not be long, but baby, i
don't wanna say goodbye


birds of a feather, we should stick together, i know ('til the day that i die)
i said i'd never think i wasn't better alone ('til the light leaves my eyes)
can't change the weather, might not be forever ('til the day that i die)
but if it's forever, it's even better


i knew you in another life
you had that same look in your eyes
i love you, don't act so surprised"
16,Please Please Please,Sabrina Carpenter ,"
i know i have good judgment, i know i have good taste
it's funny and it's ironic that only i feel that way
i promise 'em that you're different and everyone makes mistakes
but just don't
i heard that you're an actor, so act like a stand-up guy
whatever devil's inside you, don't let him out tonight
i tell them it's just your culture and everyone rolls their eyes
yeah, i know
all i'm asking, baby


please, please, please
don't prove i'm right
and please, pleasе, please
don't bring me to tеars when i just did my makeup so nice
heartbreak is one thing, my ego's another
i beg you, don't embarrass me, motherfucker, oh
please, please, please (ah)


well, i have a fun idea, babe (uh-huh), maybe just stay inside
i know you're cravin' some fresh air, but the ceiling fan is so nice (it's so nice, right?)
and we could live so happily if no one knows that you're with me
i'm just kidding, but really (kinda), really, really


please, please, please (please don't prove i'm right)
don't prove i'm right
and please, please, please
don't bring me to tears when i just did my makeup so nice
heartbreak is one thing (heartbreak is one thing), my ego's another (ego's another)
i beg you, don't embarrass me, motherfucker, oh
please, please, please (ah)


if you wanna go and be stupid
don't do it in front of me
if you don't wanna cry to my music
don't make me hate you prolifically
please, please, please (please)
please, please, please (please)
please (please), please (please), please
(ah)"
17,Agora Hills,Doja Cat ,"
ooh
yeah, yeah


kissin' and hope they caught us (ah)
whether they like or not (not)
i wanna show you off (off)
i wanna show you off (off)
i wanna brag about it (yeah)
i wanna tie the knot (knot)
i wanna show you off (off)
i wanna show you off (off)


i wanna show you (off)
yeah, yeah
i wanna show you off (off)
i wanna show you off (off)
i wanna show you (yeah)
yeah, yeah
i wanna show you off (off)
i wanna show you off (off)
i wanna show you


hold my hand
you can hit while they watch, boy


so, 9:30? i'll see you there
no, you hang up, you hang up


somethin' different about you
love it when he hit and smack too
baby, let me lick on your tattoos
that's true that i like pda, take it to a seedy place
suck a little dick in the bathroom
""who that man with the big strong hands
on her ass in the club with the paps?"" baby, that's you
front-seat chillin' with the window down
i be ten toеs down on the dash, gettin' fast food
hope you can handlе the heat, put your name in the streets
get used to my fans lookin' at you
fuck what they heard, i don't fuck with them birds
i'm a mean kitty, don't get stabbed with the rat tooth
boys be mad that i don't fuck incels
girls hate too, gun to their pigtail
i love you, i wanna big chill
boy, don't trip, i'll split a big bill
take you 'round the world, they don't have to understand
rub it in their face, put a rock on her hand


baby, can you call me back? i miss you
it's so lonely in my mansion


kissin' and hope they caught us (ah)
whether they like or not (not)
i wanna show you off (off)
i wanna show you off (off)
i wanna brag about it (yeah)
i wanna tie the knot (knot)
i wanna show you off (off)
i wanna show you off (off)


i wanna show you (off)
yeah, yeah
i wanna show you off (off)
i wanna show you off (off)
i wanna show you (yeah)
yeah, yeah
i wanna show you off (off)
i wanna show you off (off)
i wanna show you


hold my hand
you can hit while they watch, boy


ah, sorry, i was takin' a sip of my root beer


'cause love is pain, but i need this shit (yeah)
we fuck too good when the bean kicks in
like fortnite, i'ma need your skin (yeah)
don't give a fuck where the penis been (uh)
boy, you're the one, you're the only man
me and you on my onlyfans
holy cow, you're the holy trin'
hold me down when a hole need dick
be my security, it's your therapy
with you, i ain't holding shit back
when i need my space, you give that
when he broke my heart, you fixed that
with a long walk on the beach
love it when they honk-honk on the street (beep)
when they see us zoom by in the jeep (yeah)
we a whole damn joint, we a energy
baby, we could just ride on our enemies
they all wanna know how you get to me
let 'em feel how they feel and be philistines
'cause this type of love's the epitome, said


baby, you're literally capping to me right now
like why are you capping me?
you just cap so hard, it's— i don't know what to do


kissin' and hope they caught us (ah)
whether they like or not (not)
i wanna show you off (off)
i wanna show you off (off)
i wanna brag about it (yeah)
i wanna tie the knot (knot)
i wanna show you off (off)
i wanna show you off (off)


i wanna show you (off)
yeah, yeah
i wanna show you off (off)
i wanna show you off (off)
i wanna show you (yeah)
yeah, yeah
i wanna show you off (off)
i wanna show you off (off)
i wanna show you


hold my hand
you can hit while they watch, boy"
18,"Good Luck, Babe!",Chappell Roan ,"
it's fine, it's cool
you can say that we are nothing, but you know the truth
and guess i'm the fool
with her arms out like an angel through the car sunroof


i don't wanna call it off
but you don't wanna call it love
you only wanna be the one that i call ""baby""


you can kiss a hundred boys in bars
shoot another shot, try to stop the feeling
you can say it's just the way you are
make a new excuse, 'nother stupid reason
good luck, babe (well, good luck)
well, good luck, babe (well, good luck)
you'd have to stop the world just to stop the feeling
good luck, babe (well, good luck)
well, good luck, babe (well, good luck)
you'd have to stop the world just to stop the feeling


i'm cliché, who cares?
it's a sexually explicit kind of love affair
and i cry, it's not fair
i just need a little lovin', i just need a little air


think i'm gonna call it off
even if you call it love
i just wanna love someone who calls me ""baby""


you can kiss a hundred boys in bars
shoot another shot, try to stop the feeling
you can say it's just the way you are
make a new excuse, 'nother stupid reason
good luck, babe (well, good luck)
well, good luck, babe (well, good luck)
you'd have to stop the world just to stop the feeling
good luck, babe (well, good luck)
well, good luck, babe (well, good luck)
you'd have to stop the world just to stop the feeling


ah, ah-yeah, oh
when you wake up next to him in the middle of the night
with your head in your hands, you're nothing more than his wife
and when you think about me all of those years ago
you're standing face to face with ""i told you so""
you know i hate to say, i told you so
you know i hate to say, but i told you so


you can kiss a hundred boys in bars
shoot another shot, try to stop the feeling (well, i told you so)
you can say it's just the way you are
make a new excuse, 'nother stupid reason
good luck, babe (well, good luck)
well, good luck, babe (well, good luck)
you'd have to stop the world just to stop the feeling
good luck, babe (well, good luck)
well, good luck, babe (well, good luck)
you'd have to stop the world just to stop the feeling

you'd have to stop the world just to stop the feeling
you'd have to stop the world just to stop the feeling
you'd have to stop the world just to stop the feeling"
19,Saturn,SZA ,"
if there's another universe
please make some noise (noise)
give me a sign (sign)
this can't be life
if there's a point to losing love
repeating pain (why?)
it's all the same (same)
i hate this place

stuck in this paradigm
don't believe in paradise
this must be what hell is like
there's got to be more, got to be more
sick of this head of mine
intrusive thoughts, they paralyzе
nirvana's not as advertised
therе's got to be more, been here before


ooh (ooh, ooh)
life's better on saturn
got to break this pattern
of floating away
ooh (ooh, ooh)
find something worth saving
it's all for the taking
i always say


i'll be better on saturn
none of this matters
dreaming of saturn, oh


if karma's really real
how am i still here?
just seems so unfair
i could be wrong though
if there's a point to being good
then where's my reward?
the good die young and poor
i gave it all i could


stuck in this terradome (ooh)
all i see is terrible (ooh)
making us hysterical (ooh)
there's got to be more, got to be more
sick of this head of mine (ooh)
intrusive thoughts, they paralyze (ooh)
nirvana's not as advertised (ooh)
there's got to be more, been here before


ooh (ooh, ooh)
life's better on saturn
got to break this pattern
of floating away
ooh (ooh, ooh)
find something worth saving
it's all for the taking
i always say


i'll be better on saturn
none of this matters
dreaming of saturn, oh


(ooh, ooh, ooh)
(ooh, ooh, ooh)"
20,Snooze,SZA ,"
ooh
i think i know


i'll touch that fire for you
i do that three, four times again, i testify for you
i told that lie, i'd kill that bitch
i do what all of them around you scared to do, i'm not
long as you juggin' out here for me, i got it
mobbin', schemin', lootin', hide your bodies
long as you dreamin' 'bout me, ain't no problem
i don't got nobody, just with you right now
tell the truth, i look better under you


i can't lose when i'm with you
how can i snooze and miss the moment?
you just too important
nobody do body like you do
i can't lose when i'm with you
i can't just snooze and miss the moment
you just too important
nobody do body like you do, you do


in a droptop ride with you, i feel like scarface (scarface)
like that white bitch with the bob, i'll be your main one (your main one)
lеt's take this argument back up to my place (my placе)
sex remind you i'm nonviolent, i'm your day one (day one)
we ain't have shit yet, it was magic, yeah
smash and grab shit, yeah
nasty habits take a hold when you not here
ain't a home when you not here
hard to grow when you not here, i'm sayin'


i can't lose when i'm with you
how can i snooze and miss the moment?
you just too important
nobody do body like you do
i can't lose when i'm with you
how can i snooze and miss the moment?
you just too important
nobody do body like you do, you do


main one ridin'
how you frontin' on me and i'm the main one tryin'?
how you blame it on me and you the main one lyin'?
how you threatenin' to leave and i'm the main one cryin'?
just tryna be your everything
main one ridin'
how you frontin' on me and i'm the main one tryin'?
how you blame it on me and you the main one lyin'?
how you threatenin' to leave and i'm the main one cryin'?


i can't lose when i'm with you (like you, like you)
how can i snooze and miss the moment? (like you)
you just too important
nobody do body like you do
i can't lose when i'm with you (like you)
how can i snooze and miss the moment? (like you)
you just too important
nobody do body like you do, you do


nah, nah, nah, nah
i think i know, woah
see, no, i can't lose, oh
i think i know, oh"
21,Paint The Town Red,Doja Cat ,"
by
walk on by
walk on by
walk on by
walk on by


yeah, bitch, i said what i said
i'd rather be famous instead
i let all that get to my head
i don’t care, i paint the town red
bitch, i said what i said
i'd rather be famous instead
i let all that get to my head
i don't care, i paint the town red


mm, she the devil
she a bad lil’ bitch, she a rebel
she put her foot to the pedal
it'll take a whole lot for me to settle
mm, she the devil
she a bad lil' bitch, she a rebel
she put her foot to the pedal
it'll take a whole lot for me to settle (yeah, yeah)


said my happiness is all of your misery
i put good dick all in my kidneys
this margiel' don't come with no jealousy
my illness don't come with no remedy
i am so much fun without hennessy
they just want my love and my energy
you can't talk no shit without penalties
bitch, i’m in yo’ shit if you send for me
i'm going to glow up one more time
trust me, i have magical foresight
you gon’ see me sleepin' in courtside
you gon' see me eatin' ten more times
ugh, you can’t take that bitch nowhere
ugh, i look better with no hair
ugh, ain't no sign i can't smoke here
ugh, gimme the chance and i'll go there (yeah)


yeah, bitch, i said what i said
i'd rather be famous instead
i let all that get to my head
i don't care, i paint the town red
bitch, i said what i said
i'd rather be famous instead
i let all that get to my head
i don't care, i paint the town red


mm, she the devil
she a bad lil' bitch, she a rebel
she put her foot to the pedal
it'll take a whole lot for me to settle
mm, she the devil
she a bad lil' bitch, she a rebel
she put her foot to the pedal
it'll take a whole lot for me to settle (yeah, yeah)


said pop make money, now you try, bitch
you could use a revamp with a new vibe, sis
i don't need a big feature or a new sidekick
i don't need a new fan 'cause my boo like it
i don't need to wear a wig to make you like it
i'm a two-time bitch, you ain't knew i'd win?
throw a shot like you tryna have a food fight then
all my opps waitin' for me to be you, i bet
said i got drive, i don't need a car
money really all that we fiendin' for
i'm doin' things they ain't seen before
fans ain't dumb, but extremists are
i'm a demon lord
fall off what? i ain't seen the horse
called your bluff, better cite the source
fame ain't somethin' that i need no more


'cause, bitch, i said what i said
i'd rather be famous instead
i let all that get to my head
i don't care, i paint the town red
bitch, i said what i said
i'd rather be famous instead
i let all that get to my head
i don't care, i paint the town red


mm, she the devil
she a bad lil' bitch, she a rebel
she put her foot to the pedal
it'll take a whole lot for me to settle
mm, she the devil
she a bad lil' bitch, she a rebel
she put her foot to the pedal
it'll take a whole lot for me to settle

walk on by
walk on by
walk on by
walk on by
walk on by"
